CODE,DOMES,STATION DESCRIPTION,LAT,LONG,HEIGHT
EZEV,19896M001,Eze - Village FR ANCE,43.77444444,7.497277778,76.7
FAA1,92201M012,Papeete (Tahiti) SOCI,-17.55530556,210.3856944,12
FAIR,40408M001,FAIRBANKS UNITED STAT,64.978,212.50075,317.2
FALK,80602M001,Stanley FALKLAND ISLA,-51.69363889,302.1259444,48.9
FFMJ,14279M001,FRANKFURT GERMAN Y,50.09058333,8.664972222,178.2
FFT2,97201M007,Fort de France F RANCE,14.60147222,298.9366667,-30.1
FLIN,40135M001,Flin Flon CANADA ,54.72558333,258.0219722,311.6
FLM5,66061M002,MOUNT FLEMING AN TARTI,-77.53272222,160.2714167,1869.7
FLRS,31907M001,Santa Cruz das Fl ores,39.45383333,328.8736111,78.3
FRAN,19648M001,Le Havre - Vigie eclus,49.47683333,0.173944444,80.4
FRDN,40146M001,Fredericton CANA DA,45.9335,293.3401111,94.8
FRED,49719S001,FREDONIA UNITED STATE,36.98833333,247.5007778,1529.7
FTNA,92902S002,Futuna WALLIS AN D FUT,-14.30780556,181.8790556,82.9
FUER,31330M001,Fuerteventura SP ANISH,28.49888889,346.1400556,76.8
FUNC,13911S001,Funchal PORTUGAL ,32.64794444,343.0923889,78.4
FYHA,10126M001,Fynshav DENMARK ,54.99363889,9.98625,46
GACC,49208M001,Columbia County UNITE,33.54575,277.8661944,98.5
GAMB,92301M003,Rikitea (Ile Mang areva,-23.13036111,225.0351667,78.7
GAMG,23910M001,Gamak mountain S OUTH,35.59008333,127.9196667,926
GANP,11515M001,Ganovce SLOVAKIA ,49.03472222,20.32294444,744.1
GARI,19517M001,Porto Garibaldi ITALY,44.67691667,12.24944444,47.7
GCGO,40408M006,FAIRBANKS UNITED STAT,64.97805556,212.5005833,319.3
GENO,12712M002,Genova ITALY ,44.41938889,8.921138889,155.5
GIBR,13301M001,Gibraltar GIBRAL TAR,36.14816667,354.6350278,45.6
GISB,50223M001,Gisborne NEW ZEA LAND,-38.63533333,177.8860278,87.2
GLPS,42005M002,Santa Cruz ECUAD OR,-0.743,269.6963333,-0.2
GNVL,49592S001,GAINESVILLE FLOR IDA,29.68655556,277.7231111,22.4
GODE,40451M123,Washington UNITE D STA,39.02172222,283.1731667,14.5
GODN,40451M127,Washington UNITE D STA,39.02116667,283.1729167,15.9
GODS,40451M128,Washington UNITE D STA,39.02052778,283.1726667,17.2
GODZ,40451M123,Washington UNITE D STA,39.02172222,283.1731667,12.6
GOL2,40405S031,GOLDSTONE UNITED STAT,35.42516667,243.11075,984.7
GOLD,40405S031,GOLDSTONE UNITED STAT,35.42516667,243.11075,986.6
GOP6,11502M006,Pecny - Ondrejov CZEC,49.91366667,14.78561111,592.6
GOPE,11502M002,Pecny - Ondrejov CZEC,49.91369444,14.78561111,592.6
GRAC,10002M010,Grasse (OCA) FRA NCE,43.7545,6.920777778,1317.9
GRAS,10002M006,Grasse (OCA) FRA NCE,43.75475,6.920583333,1317.4
GRAZ,11001M002,GRAZ LUSTBUEHEL AUSTR,47.06713889,15.49347222,538.3
GRIS,49399M001,Grand Isle UNITE D STA,29.26552778,270.0426944,-17
GUAM,50501M002,GUAM AMERICAN DE PENDE,13.58933333,144.8683611,199.9
GUIP,10004M501,Brest FRANCE ,48.44461111,355.5881944,154.7
GUST,49632S001,Gustavus Ohio U NITED,41.46275,279.2838056,282
GUUG,82301M001,USGS of Guam UNI TED S,13.43322222,144.8027222,134.8
